Agemos,P3,P5,P10,P25,P50,P75,P90,P95,P97
126.5,128.1540923,129.7346372,132.1884911,136.3432832,141.0396832,145.8205935,150.1959657,152.8473131,154.5823786
127.5,128.5499184,130.1466666,132.6242751,136.8154369,141.5471945,146.3579283,150.7552278,153.4174019,155.1585578
128.5,128.9572634,130.5704957,133.072142,137.299748,142.0663731,146.9058529,151.3236226,153.9955367,155.741993
129.5,129.3771753,131.0070717,133.5328789,137.7967284,142.59742,147.4642617,151.9007796,154.581196,156.3320686
130.5,129.8106385,131.4572565,134.0071586,138.3067365,143.1403553,148.0328573,152.4861414,155.1736815,156.9280012
131.5,130.2585454,131.9217986,134.4955119,138.8299523,143.6949981,148.6111378,153.0789588,155.7721177,157.5288429
132.5,130.7216652,132.4013028,134.9982982,139.3663536,144.2609497,149.1983881,153.6782905,156.3754566,158.1334886
133.5,131.2006102,132.8961979,135.5156778,139.9156938,144.8375809,149.7936767,154.2830074,156.9824866,158.740688
134.5,131.6958014,133.4067049,136.0475846,140.4774848,145.4240246,150.3958583,154.8918033,157.591847,159.3490618
135.5,132.2074327,133.9328066,136.5937022,141.0509836,146.0191748,151.0035823,155.5032105,158.2020466,159.9571223
136.5,132.7354383,134.4742195,137.1534445,141.6351863,146.621692,151.6153083,156.1156207,158.8114866,160.5632969
137.5,133.2794613,135.0303699,137.7259419,142.228829,147.2300177,152.2293288,156.7273114,159.4184879,161.1659545
138.5,133.8388331,135.6003795,138.3100351,142.8303943,147.8423918,152.8437944,157.336476,160.0213216,161.7634371
139.5,134.4125492,136.1830524,138.9042785,143.4381342,148.4568879,153.4567526,157.9412574,160.6182378,162.3540831
140.5,134.9992687,136.7768804,139.5069517,144.0500909,149.0714413,154.0661803,158.5397832,161.2075007,162.9362629
141.5,135.5973139,137.3800519,140.1160824,144.6641345,149.6838943,154.6700274,159.1302018,161.7874182,163.5084028
142.5,136.2046931,137.9904798,140.7294775,145.2779986,150.2920328,155.2662534,159.710717,162.3563754,164.0690181
143.5,136.8191174,138.6058289,141.3447662,145.8893375,150.8936469,155.8528786,160.2796226,162.9128551,164.6167234
144.5,137.4380555,139.2235689,141.9594471,146.4957662,151.4865636,156.4280126,160.8353311,163.4554684,165.1502647
145.5,138.0587804,139.8410247,142.5709442,147.0949169,152.0686985,156.9898953,161.3763995,163.9829705,165.6685285
146.5,138.6784334,140.4554388,143.1766639,147.6844892,152.6380955,157.5369262,161.9015501,164.4942764,166.1705539
147.5,139.2940935,141.064036,143.7740547,148.2622979,153.1929631,158.0676887,162.4096857,164.9884705,166.6555396
148.5,139.902849,141.6640898,144.3606631,148.8263158,153.7317031,158.5809683,162.8998985,165.4648118,167.1228459
149.5,140.5018697,142.2529855,144.9341866,149.3747099,154.2529332,159.0757636,163.3714746,165.9227345,167.5719943
150.5,141.0884738,142.8282787,145.4925187,149.9058698,154.755501,159.5512908,163.8238923,166.3618445,168.0026622
151.5,141.6601883,143.3877452,146.0337866,150.4184277,155.2384904,160.006982,164.2568163,166.7819123,168.4146759
152.5,142.2147984,143.9294218,146.5563788,150.9112703,155.7012216,160.4424774,164.6700879,167.1828627,168.8080012
153.5,142.7503859,144.4516354,147.0589626,151.3835413,156.1432438,160.8576139,165.0637118,167.5647631,169.1827317
154.5,143.2653544,144.9530205,147.5404925,151.8346381,156.564323,161.252409,165.4378408,167.9278093,169.5390766
155.5,143.7584411,145.4325259,148.0002085,152.2642007,156.9644258,161.6270427,165.7927589,168.2723104,169.8773471
156.5,144.2287179,145.8894106,148.437627,152.6720956,157.3436995,161.9818377,166.1288638,168.5986736,170.1979436
157.5,144.6755805,146.3232308,148.8525242,153.0583966,157.7024507,162.317239,166.4466488,168.9073892,170.5013414
