Agemos,P3,P5,P10,P25,P50,P75,P90,P95,P97
204.5,43.33645956,44.43550259,46.29381699,49.95916191,55.18216811,62.32761268,71.63707172,79.51506292,86.16706131
205.5,43.43214518,44.53044156,46.38752609,50.05066163,55.271352,62.41609075,71.73076142,79.62026752,86.28815157
206.5,43.52373663,44.62161386,46.47800802,50.13992923,55.35950558,62.50462147,71.82462845,79.72434173,86.40582627
207.5,43.61137495,44.70916923,46.56542689,50.22715595,55.44685531,62.59346994,71.91896047,79.82755144,86.52028803
208.5,43.69520604,44.79326117,46.64994883,50.31253151,55.53362107,62.68288814,72.01402668,79.9301456,86.63173131
209.5,43.77537971,44.8740461,46.73174101,50.39624297,55.62001464,62.77311319,72.11007585,80.03235456,86.74034162
210.5,43.85204883,44.95168231,46.81097052,50.47847336,55.70623826,62.86436555,72.20733438,80.13438837,86.84629466
211.5,43.9253721,45.02633189,46.88780489,50.55939966,55.79247939,62.95684135,72.3059993,80.23643485,86.9497625
212.5,43.99549743,45.09814744,46.96240411,50.6391944,55.87892356,63.05073398,72.40625667,80.33865934,87.05088422
213.5,44.06258481,45.16728964,47.03492965,50.71801935,55.96573022,63.14619584,72.50824833,80.44120111,87.14980899
214.5,44.12678882,45.23391322,47.10553608,50.79602716,56.05304601,63.24336091,72.61209121,80.54417335,87.24666536
215.5,44.18826162,45.29816896,47.17437139,50.87335876,56.14099882,63.34233618,72.71786996,80.64766146,87.34156823
216.5,44.24715174,45.36020233,47.24157543,50.95014153,56.22969564,63.44319934,72.82563495,80.75172168,87.43461808
217.5,44.30360275,45.42015206,47.30727836,51.02648735,56.3192203,63.54599643,72.93540037,80.85638,87.52590032
218.5,44.35775192,45.47814866,47.37159889,51.10249055,56.40963105,63.65073939,73.04714239,80.96163098,87.61548453
219.5,44.40972877,45.53431283,47.43464251,51.17822572,56.50095811,63.75740358,73.16079731,81.06743678,87.70342388
220.5,44.45965358,45.58875384,47.49649958,51.25374544,56.59320107,63.86592525,73.27625982,81.17372627,87.78975439
221.5,44.50763581,45.64156773,47.55724333,51.32907793,56.68632619,63.97619897,73.39338138,81.28039424,87.87449436
222.5,44.5537724,45.69283549,47.61692775,51.40422448,56.78026364,64.08807505,73.51196857,81.38730069,87.95764367
223.5,44.598146,45.74262109,47.6755854,51.47915686,56.87490465,64.20135697,73.63178167,81.49427023,88.03918325
224.5,44.64082307,45.79096943,47.733225,51.55381463,56.97009856,64.31579883,73.75253327,81.60109165,88.11907438
225.5,44.68185184,45.83790409,47.78982906,51.62810228,57.06564989,64.43110284,73.87388701,81.70751748,88.19725823
226.5,44.72126019,45.88342504,47.84535121,51.70188628,57.16131528,64.54691678,73.99545642,81.8132637,88.27365525
227.5,44.75905693,45.92750914,47.89971542,51.7749921,57.25679821,64.66282755,74.11679995,81.91800816,88.34816753
228.5,44.79521204,45.97009344,47.9528045,51.84720202,57.35175792,64.77837954,74.23743894,82.02139464,88.42066003
229.5,44.82968627,46.01109826,48.00447244,51.91824859,57.44578172,64.89303137,74.35682105,82.12302792,88.49100174
230.5,44.86239882,46.05040055,48.05452712,51.98781418,57.53840429,65.00619161,74.47435424,82.22248225,88.55903385
231.5,44.89323794,46.08784264,48.10273611,52.05553129,57.62910094,65.11720439,74.58938617,82.3192791,88.62454872
232.5,44.92205384,46.12322421,48.14881709,52.12097097,57.7172758,65.22534243,74.70121281,82.41291688,88.68734305
233.5,44.94865678,46.15630107,48.1924379,52.1836449,57.80226553,65.32980994,74.80907365,82.50285304,88.74718402
234.5,44.97281279,46.18678082,48.23321202,52.24300075,57.88333502,65.42973979,74.91215216,82.58850833,88.80381758
235.5,44.99423978,46.21431895,48.27069475,52.2984187,57.95967458,65.52419173,75.00957518,82.66926695,88.85696942
236.5,45.01260329,46.23851477,48.3043794,52.34920805,58.0303973,65.61215061,75.10041216,82.74447678,88.90634626
237.5,45.02751676,46.2589107,48.33369518,52.39460282,58.09453209,65.69251821,75.18366937,82.81344962,88.95164479
238.5,45.03852094,46.27497563,48.35799667,52.4337619,58.15103575,65.76413346,75.25830602,82.87546122,88.99252982
239.5,45.04509979,46.28611635,48.37656825,52.46576117,58.1987714,65.8257417,75.32321054,82.92975179,89.02866893
240,45.04654822,46.28963394,48.38346004,52.47876433,58.21897289,65.85237979,75.35164989,82.95375457,89.04485133
